category,Niederschlag (6 bis 6 UTC)
Fr 01.07.,6
Sa 02.07.,0
So 03.07.,0
Mo 04.07.,9.9
Di 05.07.,0
Mi 06.07.,0
Do 07.07.,2.6
Fr 08.07.,0
Sa 09.07.,0.4
So 10.07.,0
Mo 11.07.,0
Di 12.07.,0
Mi 13.07.,0
Do 14.07.,1.2
Fr 15.07.,0
Sa 16.07.,0
So 17.07.,0
Mo 18.07.,0
Di 19.07.,0
Mi 20.07.,0
Do 21.07.,0.9
Fr 22.07.,1.2
Sa 23.07.,0.1
So 24.07.,0
Mo 25.07.,24.8
Di 26.07.,2
Mi 27.07.,0
Do 28.07.,0
Fr 29.07.,2.6
Sa 30.07.,0
So 31.07.,0
Mo 01.08.,3.3
Di 02.08.,0
Mi 03.08.,0
Do 04.08.,0
Fr 05.08.,15.3
Sa 06.08.,1.1
So 07.08.,0
Mo 08.08.,0
Di 09.08.,0
Mi 10.08.,0
Do 11.08.,0
Fr 12.08.,0
Sa 13.08.,0
So 14.08.,0
Mo 15.08.,0
Di 16.08.,0
Mi 17.08.,3.9
Do 18.08.,1.4
Fr 19.08.,5.1
Sa 20.08.,36.6
So 21.08.,0
Mo 22.08.,0
Di 23.08.,0
Mi 24.08.,0
Do 25.08.,0
Fr 26.08.,1.9
Sa 27.08.,10.4
So 28.08.,13.6
Mo 29.08.,0
Di 30.08.,0
Mi 31.08.,4.2
Do 01.09.,0
Fr 02.09.,0
Sa 03.09.,7.8
So 04.09.,0
Mo 05.09.,0
Di 06.09.,0
Mi 07.09.,0.8
Do 08.09.,2.2
Fr 09.09.,1.1
Sa 10.09.,10.7
So 11.09.,1.5
Mo 12.09.,0
Di 13.09.,0.1
Mi 14.09.,2.2
Do 15.09.,4.2
Fr 16.09.,3.6
Sa 17.09.,7.1
So 18.09.,8
Mo 19.09.,0.4
Di 20.09.,1.1
Mi 21.09.,0
Do 22.09.,0
Fr 23.09.,0
Sa 24.09.,1.6
So 25.09.,5.6
Mo 26.09.,5.4
Di 27.09.,5.1
Mi 28.09.,9.7
Do 29.09.,3.5
Fr 30.09.,0.1
