category,Niederschlag (6 bis 6 UTC)
Di 01.05.,0
Mi 02.05.,0
Do 03.05.,0
Fr 04.05.,0
Sa 05.05.,0
So 06.05.,0
Mo 07.05.,0
Di 08.05.,0
Mi 09.05.,0
Do 10.05.,1.9
Fr 11.05.,0
Sa 12.05.,0
So 13.05.,17.2
Mo 14.05.,0
Di 15.05.,7.9
Mi 16.05.,19.7
Do 17.05.,2.3
Fr 18.05.,0
Sa 19.05.,14.1
So 20.05.,0.3
Mo 21.05.,0
Di 22.05.,0.3
Mi 23.05.,5
Do 24.05.,2.4
Fr 25.05.,0
Sa 26.05.,0
So 27.05.,0
Mo 28.05.,0
Di 29.05.,5.4
Mi 30.05.,0
Do 31.05.,0.6
Fr 01.06.,0.8
Sa 02.06.,0
So 03.06.,0
Mo 04.06.,0
Di 05.06.,0
Mi 06.06.,3.4
Do 07.06.,0.1
Fr 08.06.,0.4
Sa 09.06.,19.6
So 10.06.,0.2
Mo 11.06.,0.1
Di 12.06.,25.4
Mi 13.06.,15.9
Do 14.06.,0
Fr 15.06.,0
Sa 16.06.,0
So 17.06.,10
Mo 18.06.,0
Di 19.06.,0
Mi 20.06.,0
Do 21.06.,9.4
Fr 22.06.,0
Sa 23.06.,0.8
So 24.06.,3
Mo 25.06.,0
Di 26.06.,0
Mi 27.06.,0.8
Do 28.06.,19.2
Fr 29.06.,0.2
Sa 30.06.,0
So 01.07.,0
Mo 02.07.,0
Di 03.07.,0
Mi 04.07.,0
Do 05.07.,6.1
Fr 06.07.,22.9
Sa 07.07.,0
So 08.07.,0
Mo 09.07.,0
Di 10.07.,6.7
Mi 11.07.,0
Do 12.07.,0
Fr 13.07.,0
Sa 14.07.,3.3
So 15.07.,38.1
Mo 16.07.,0.7
Di 17.07.,0.4
Mi 18.07.,0
Do 19.07.,0
Fr 20.07.,18.3
Sa 21.07.,32.6
So 22.07.,23.1
Mo 23.07.,1.1
Di 24.07.,0
Mi 25.07.,0.2
Do 26.07.,0
Fr 27.07.,0
Sa 28.07.,0.1
So 29.07.,0
Mo 30.07.,0
Di 31.07.,0
Mi 01.08.,0.2
Do 02.08.,0
Fr 03.08.,0
Sa 04.08.,0
So 05.08.,0
Mo 06.08.,0
Di 07.08.,6
Mi 08.08.,0
Do 09.08.,11.5
Fr 10.08.,11.7
Sa 11.08.,0
So 12.08.,0
Mo 13.08.,12.7
Di 14.08.,0
Mi 15.08.,0
Do 16.08.,0
Fr 17.08.,0
Sa 18.08.,0
So 19.08.,0
Mo 20.08.,0
Di 21.08.,0
Mi 22.08.,0
Do 23.08.,0.6
Fr 24.08.,3.6
Sa 25.08.,6
So 26.08.,0
Mo 27.08.,0
Di 28.08.,0
Mi 29.08.,6.7
Do 30.08.,5.4
Fr 31.08.,26.6
