category,Niederschlag (6 bis 6 UTC)
Mi 01.05.,0
Do 02.05.,10
Fr 03.05.,3.3
Sa 04.05.,2.6
So 05.05.,0.3
Mo 06.05.,0
Di 07.05.,0
Mi 08.05.,3.2
Do 09.05.,0.4
Fr 10.05.,1.8
Sa 11.05.,10.2
So 12.05.,11.4
Mo 13.05.,0.1
Di 14.05.,2.3
Mi 15.05.,0.1
Do 16.05.,0
Fr 17.05.,0
Sa 18.05.,0
So 19.05.,8.9
Mo 20.05.,70.7
Di 21.05.,21.3
Mi 22.05.,0
Do 23.05.,0
Fr 24.05.,0
Sa 25.05.,0.2
So 26.05.,0
Mo 27.05.,11
Di 28.05.,17.8
Mi 29.05.,1.4
Do 30.05.,0
Fr 31.05.,0
Sa 01.06.,0
So 02.06.,0
Mo 03.06.,0
Di 04.06.,0
Mi 05.06.,0
Do 06.06.,0
Fr 07.06.,0
Sa 08.06.,0
So 09.06.,1.1
Mo 10.06.,8.1
Di 11.06.,3
Mi 12.06.,0.2
Do 13.06.,0
Fr 14.06.,0
Sa 15.06.,10.1
So 16.06.,0
Mo 17.06.,0
Di 18.06.,0
Mi 19.06.,0.3
Do 20.06.,24.3
Fr 21.06.,21.3
Sa 22.06.,51.5
So 23.06.,0.3
Mo 24.06.,0
Di 25.06.,0
Mi 26.06.,0
Do 27.06.,0
Fr 28.06.,0
Sa 29.06.,0
So 30.06.,0
Mo 01.07.,8.1
Di 02.07.,0
Mi 03.07.,0
Do 04.07.,0
Fr 05.07.,0
Sa 06.07.,0
So 07.07.,14.7
Mo 08.07.,1.6
Di 09.07.,0
Mi 10.07.,0
Do 11.07.,3.9
Fr 12.07.,11
Sa 13.07.,10.5
So 14.07.,2
Mo 15.07.,0
Di 16.07.,0
Mi 17.07.,0
Do 18.07.,0
Fr 19.07.,0
Sa 20.07.,2.4
So 21.07.,22.5
Mo 22.07.,0
Di 23.07.,0
Mi 24.07.,0
Do 25.07.,0
Fr 26.07.,0
Sa 27.07.,5.3
So 28.07.,28.3
Mo 29.07.,0.4
Di 30.07.,3.7
Mi 31.07.,7
Do 01.08.,0
Fr 02.08.,4
Sa 03.08.,2.7
So 04.08.,0
Mo 05.08.,0
Di 06.08.,0
Mi 07.08.,5.6
Do 08.08.,0
Fr 09.08.,0
Sa 10.08.,3.6
So 11.08.,2.3
Mo 12.08.,27.9
Di 13.08.,6.9
Mi 14.08.,0
Do 15.08.,2.8
Fr 16.08.,0
Sa 17.08.,0
So 18.08.,6.1
Mo 19.08.,5.9
Di 20.08.,24.3
Mi 21.08.,0
Do 22.08.,0
Fr 23.08.,0
Sa 24.08.,0
So 25.08.,0
Mo 26.08.,5.4
Di 27.08.,0
Mi 28.08.,3
Do 29.08.,0
Fr 30.08.,0
Sa 31.08.,0
