category,Niederschlag (6 bis 6 UTC)
Do 01.07.,2.6
Fr 02.07.,0
Sa 03.07.,2.9
So 04.07.,13.4
Mo 05.07.,0
Di 06.07.,22.6
Mi 07.07.,3.3
Do 08.07.,22.9
Fr 09.07.,6.5
Sa 10.07.,4.4
So 11.07.,1.6
Mo 12.07.,0
Di 13.07.,7.7
Mi 14.07.,0.6
Do 15.07.,1.2
Fr 16.07.,0
Sa 17.07.,8.9
So 18.07.,0.1
Mo 19.07.,0
Di 20.07.,0
Mi 21.07.,0
Do 22.07.,0
Fr 23.07.,0
Sa 24.07.,8.9
So 25.07.,0.3
Mo 26.07.,7
Di 27.07.,7.7
Mi 28.07.,10.2
Do 29.07.,0
Fr 30.07.,6.3
Sa 31.07.,10.9
So 01.08.,2.7
Mo 02.08.,7.2
Di 03.08.,2.2
Mi 04.08.,19.6
Do 05.08.,3.4
Fr 06.08.,0.7
Sa 07.08.,9.2
So 08.08.,3
Mo 09.08.,0
Di 10.08.,0
Mi 11.08.,0
Do 12.08.,0.1
Fr 13.08.,0
Sa 14.08.,0
So 15.08.,6.7
Mo 16.08.,22
Di 17.08.,3.8
Mi 18.08.,0
Do 19.08.,0
Fr 20.08.,0
Sa 21.08.,2.1
So 22.08.,9.8
Mo 23.08.,5.1
Di 24.08.,0.8
Mi 25.08.,0
Do 26.08.,5.9
Fr 27.08.,8
Sa 28.08.,9.3
So 29.08.,28.3
Mo 30.08.,11.8
Di 31.08.,1.5
Mi 01.09.,0.1
Do 02.09.,0
Fr 03.09.,0
Sa 04.09.,0
So 05.09.,0
Mo 06.09.,0
Di 07.09.,0
Mi 08.09.,0
Do 09.09.,0
Fr 10.09.,1.5
Sa 11.09.,0.4
So 12.09.,0
Mo 13.09.,0
Di 14.09.,0
Mi 15.09.,6.4
Do 16.09.,9
Fr 17.09.,0
Sa 18.09.,0
So 19.09.,0
Mo 20.09.,0
Di 21.09.,0
Mi 22.09.,0
Do 23.09.,0
Fr 24.09.,0
Sa 25.09.,0
So 26.09.,20.9
Mo 27.09.,0
Di 28.09.,0.4
Mi 29.09.,0.7
Do 30.09.,0
