category,Niederschlag (6 bis 6 UTC)
Sa 01.04.,0.8
So 02.04.,4.3
Mo 03.04.,0.1
Di 04.04.,0
Mi 05.04.,0
Do 06.04.,0
Fr 07.04.,0
Sa 08.04.,0.8
So 09.04.,0
Mo 10.04.,0.2
Di 11.04.,4.3
Mi 12.04.,19.3
Do 13.04.,6.1
Fr 14.04.,11.6
Sa 15.04.,2.3
So 16.04.,0.3
Mo 17.04.,2.6
Di 18.04.,0.6
Mi 19.04.,11.4
Do 20.04.,0.1
Fr 21.04.,0
Sa 22.04.,0
So 23.04.,9.4
Mo 24.04.,1.6
Di 25.04.,5.6
Mi 26.04.,0.1
Do 27.04.,0.3
Fr 28.04.,31.6
Sa 29.04.,0
So 30.04.,0
Mo 01.05.,6.9
Di 02.05.,11.2
Mi 03.05.,0
Do 04.05.,0
Fr 05.05.,12.9
Sa 06.05.,0
So 07.05.,0
Mo 08.05.,0
Di 09.05.,7.9
Mi 10.05.,21.9
Do 11.05.,13.6
Fr 12.05.,0
Sa 13.05.,0.1
So 14.05.,4.3
Mo 15.05.,0.9
Di 16.05.,7.8
Mi 17.05.,0
Do 18.05.,0
Fr 19.05.,0
Sa 20.05.,0
So 21.05.,0
Mo 22.05.,0
Di 23.05.,0
Mi 24.05.,0.1
Do 25.05.,0
Fr 26.05.,0
Sa 27.05.,0
So 28.05.,0
Mo 29.05.,0
Di 30.05.,0
Mi 31.05.,0
Do 01.06.,0
Fr 02.06.,0
Sa 03.06.,0
So 04.06.,0
Mo 05.06.,0
Di 06.06.,0
Mi 07.06.,0
Do 08.06.,21.7
Fr 09.06.,0
Sa 10.06.,0
So 11.06.,0
Mo 12.06.,0
Di 13.06.,0
Mi 14.06.,0
Do 15.06.,0
Fr 16.06.,0
Sa 17.06.,0
So 18.06.,0
Mo 19.06.,1.4
Di 20.06.,6.9
Mi 21.06.,0
Do 22.06.,10
Fr 23.06.,1.2
Sa 24.06.,0
So 25.06.,0
Mo 26.06.,0
Di 27.06.,2.4
Mi 28.06.,0
Do 29.06.,0.5
Fr 30.06.,23.4
