category,Niederschlag (6 bis 6 UTC)
Sa 01.05.,5.7
So 02.05.,14.5
Mo 03.05.,2.4
Di 04.05.,2.5
Mi 05.05.,1.7
Do 06.05.,8
Fr 07.05.,0.7
Sa 08.05.,0
So 09.05.,4.6
Mo 10.05.,4.2
Di 11.05.,1.2
Mi 12.05.,1.1
Do 13.05.,6
Fr 14.05.,4.9
Sa 15.05.,0.1
So 16.05.,0
Mo 17.05.,0.2
Di 18.05.,1.5
Mi 19.05.,8.3
Do 20.05.,4.4
Fr 21.05.,0.2
Sa 22.05.,1.5
So 23.05.,0
Mo 24.05.,0
Di 25.05.,0.1
Mi 26.05.,11.8
Do 27.05.,2.1
Fr 28.05.,0.2
Sa 29.05.,2.1
So 30.05.,21.7
Mo 31.05.,6.4
Di 01.06.,2.9
Mi 02.06.,38.7
Do 03.06.,8.8
Fr 04.06.,0
Sa 05.06.,0
So 06.06.,6.3
Mo 07.06.,0
Di 08.06.,0
Mi 09.06.,0
Do 10.06.,0
Fr 11.06.,0
Sa 12.06.,0.2
So 13.06.,22.5
Mo 14.06.,1.5
Di 15.06.,0.4
Mi 16.06.,13.1
Do 17.06.,14.5
Fr 18.06.,1
Sa 19.06.,3.2
So 20.06.,5.9
Mo 21.06.,0
Di 22.06.,0
Mi 23.06.,0
Do 24.06.,0
Fr 25.06.,12.5
Sa 26.06.,0
So 27.06.,0
Mo 28.06.,0
Di 29.06.,0
Mi 30.06.,0
Do 01.07.,0
Fr 02.07.,0
Sa 03.07.,0
So 04.07.,0
Mo 05.07.,0
Di 06.07.,0
Mi 07.07.,0
Do 08.07.,0
Fr 09.07.,0
Sa 10.07.,0
So 11.07.,0
Mo 12.07.,0.7
Di 13.07.,0
Mi 14.07.,8.5
Do 15.07.,0
Fr 16.07.,9.6
Sa 17.07.,28.3
So 18.07.,0.3
Mo 19.07.,0
Di 20.07.,0
Mi 21.07.,0
Do 22.07.,18.8
Fr 23.07.,28.4
Sa 24.07.,9.3
So 25.07.,0
Mo 26.07.,4.4
Di 27.07.,0.7
Mi 28.07.,2.9
Do 29.07.,10.6
Fr 30.07.,0
Sa 31.07.,0
So 01.08.,7.3
Mo 02.08.,13.1
Di 03.08.,0.3
Mi 04.08.,0
Do 05.08.,28.4
Fr 06.08.,28.8
Sa 07.08.,2.8
So 08.08.,5.9
Mo 09.08.,0
Di 10.08.,0
Mi 11.08.,0
Do 12.08.,2.2
Fr 13.08.,2.1
Sa 14.08.,0
So 15.08.,6.6
Mo 16.08.,4.3
Di 17.08.,1.4
Mi 18.08.,0.3
Do 19.08.,0
Fr 20.08.,0
Sa 21.08.,0
So 22.08.,0
Mo 23.08.,3
Di 24.08.,0.7
Mi 25.08.,0
Do 26.08.,1
Fr 27.08.,10.6
Sa 28.08.,0.1
So 29.08.,8.7
Mo 30.08.,5.2
Di 31.08.,9.2
