category,Niederschlag (6 bis 6 UTC)
Di 01.09.,4
Mi 02.09.,9.2
Do 03.09.,3.9
Fr 04.09.,1.4
Sa 05.09.,0
So 06.09.,0
Mo 07.09.,0
Di 08.09.,0
Mi 09.09.,0
Do 10.09.,0
Fr 11.09.,0
Sa 12.09.,0
So 13.09.,0.2
Mo 14.09.,3.1
Di 15.09.,0
Mi 16.09.,0.9
Do 17.09.,7.2
Fr 18.09.,0
Sa 19.09.,0
So 20.09.,0
Mo 21.09.,0
Di 22.09.,0
Mi 23.09.,0
Do 24.09.,0
Fr 25.09.,0
Sa 26.09.,0
So 27.09.,0
Mo 28.09.,0
Di 29.09.,0
Mi 30.09.,0
Do 01.10.,0
Fr 02.10.,0
Sa 03.10.,0
So 04.10.,0
Mo 05.10.,2.4
Di 06.10.,0.2
Mi 07.10.,0
Do 08.10.,1.8
Fr 09.10.,3.7
Sa 10.10.,6.8
So 11.10.,10.5
Mo 12.10.,4.4
Di 13.10.,3.5
Mi 14.10.,0.6
Do 15.10.,1
Fr 16.10.,6.7
Sa 17.10.,2.8
So 18.10.,2.5
Mo 19.10.,0
Di 20.10.,0
Mi 21.10.,0
Do 22.10.,4.7
Fr 23.10.,0.6
Sa 24.10.,0
So 25.10.,4.7
Mo 26.10.,0.4
Di 27.10.,0
Mi 28.10.,0
Do 29.10.,0
Fr 30.10.,0
Sa 31.10.,0
So 01.11.,0.6
Mo 02.11.,17.2
Di 03.11.,5.7
Mi 04.11.,0.5
Do 05.11.,0
Fr 06.11.,0
Sa 07.11.,0
So 08.11.,5.4
Mo 09.11.,0.4
Di 10.11.,0
Mi 11.11.,0
Do 12.11.,0.5
Fr 13.11.,0
Sa 14.11.,1.5
So 15.11.,2.7
Mo 16.11.,4.5
Di 17.11.,1.7
Mi 18.11.,0
Do 19.11.,0
Fr 20.11.,0
Sa 21.11.,0
So 22.11.,0
Mo 23.11.,0
Di 24.11.,1.1
Mi 25.11.,0
Do 26.11.,0
Fr 27.11.,0.8
Sa 28.11.,0
So 29.11.,0
Mo 30.11.,2.3
Di 01.12.,5.7
Mi 02.12.,0
Do 03.12.,0
Fr 04.12.,4.8
Sa 05.12.,0.1
So 06.12.,3.6
Mo 07.12.,4.2
Di 08.12.,5
Mi 09.12.,0
Do 10.12.,13.4
Fr 11.12.,12.2
Sa 12.12.,0.2
So 13.12.,0.1
Mo 14.12.,0
Di 15.12.,0
Mi 16.12.,0
Do 17.12.,0
Fr 18.12.,0
Sa 19.12.,0
So 20.12.,1.1
Mo 21.12.,1
Di 22.12.,5.1
Mi 23.12.,1
Do 24.12.,0.2
Fr 25.12.,0.4
Sa 26.12.,0
So 27.12.,0.1
Mo 28.12.,0
Di 29.12.,5
Mi 30.12.,6.2
Do 31.12.,3.3
