category,Niederschlag (6 bis 6 UTC)
Do 01.05.,2.3
Fr 02.05.,1.5
Sa 03.05.,0
So 04.05.,0
Mo 05.05.,0
Di 06.05.,1.1
Mi 07.05.,0
Do 08.05.,0
Fr 09.05.,0
Sa 10.05.,0
So 11.05.,0
Mo 12.05.,0
Di 13.05.,0
Mi 14.05.,0
Do 15.05.,5.3
Fr 16.05.,0.1
Sa 17.05.,6.7
So 18.05.,13.7
Mo 19.05.,0
Di 20.05.,4
Mi 21.05.,0.2
Do 22.05.,0.1
Fr 23.05.,0
Sa 24.05.,0.8
So 25.05.,0
Mo 26.05.,0
Di 27.05.,0
Mi 28.05.,0
Do 29.05.,0
Fr 30.05.,5
Sa 31.05.,0
So 01.06.,0
Mo 02.06.,0.6
Di 03.06.,0.2
Mi 04.06.,5.1
Do 05.06.,14.2
Fr 06.06.,10
Sa 07.06.,2
So 08.06.,3.9
Mo 09.06.,0
Di 10.06.,0.8
Mi 11.06.,4.5
Do 12.06.,10.5
Fr 13.06.,0.3
Sa 14.06.,0
So 15.06.,0.4
Mo 16.06.,2.4
Di 17.06.,0.1
Mi 18.06.,2.5
Do 19.06.,0
Fr 20.06.,0
Sa 21.06.,0
So 22.06.,0
Mo 23.06.,0.3
Di 24.06.,1.9
Mi 25.06.,2.6
Do 26.06.,0
Fr 27.06.,0
Sa 28.06.,0
So 29.06.,29.7
Mo 30.06.,0.1
Di 01.07.,0
Mi 02.07.,0
Do 03.07.,5.3
Fr 04.07.,0
Sa 05.07.,0
So 06.07.,7.1
Mo 07.07.,3
Di 08.07.,1.3
Mi 09.07.,0.3
Do 10.07.,0
Fr 11.07.,8.8
Sa 12.07.,8.4
So 13.07.,19
Mo 14.07.,11.1
Di 15.07.,0
Mi 16.07.,8.1
Do 17.07.,5.3
Fr 18.07.,0.8
Sa 19.07.,2.2
So 20.07.,13.1
Mo 21.07.,0.4
Di 22.07.,6.8
Mi 23.07.,0.1
Do 24.07.,0
Fr 25.07.,0
Sa 26.07.,0.3
So 27.07.,0
Mo 28.07.,0
Di 29.07.,34
Mi 30.07.,0
Do 31.07.,1
Fr 01.08.,5.5
Sa 02.08.,0.2
So 03.08.,0
Mo 04.08.,6.5
Di 05.08.,0
Mi 06.08.,0
Do 07.08.,0.5
Fr 08.08.,3.1
Sa 09.08.,0.2
So 10.08.,0
Mo 11.08.,6.1
Di 12.08.,5.1
Mi 13.08.,0.1
Do 14.08.,11.2
Fr 15.08.,10.2
Sa 16.08.,0
So 17.08.,0
Mo 18.08.,0
Di 19.08.,18.8
Mi 20.08.,0
Do 21.08.,0
Fr 22.08.,14.9
Sa 23.08.,0.7
So 24.08.,0
Mo 25.08.,0.7
Di 26.08.,0
Mi 27.08.,0
Do 28.08.,0
Fr 29.08.,0
Sa 30.08.,0
So 31.08.,0.1
