category,Niederschlag (6 bis 6 UTC)
Sa 01.04.,1.3
So 02.04.,0.8
Mo 03.04.,0
Di 04.04.,0
Mi 05.04.,0
Do 06.04.,0
Fr 07.04.,0
Sa 08.04.,0.2
So 09.04.,0
Mo 10.04.,0.2
Di 11.04.,2.4
Mi 12.04.,14
Do 13.04.,3.3
Fr 14.04.,6.4
Sa 15.04.,0.7
So 16.04.,0.2
Mo 17.04.,0
Di 18.04.,0
Mi 19.04.,4.7
Do 20.04.,0
Fr 21.04.,0
Sa 22.04.,0.1
So 23.04.,10.4
Mo 24.04.,0.1
Di 25.04.,2.8
Mi 26.04.,0
Do 27.04.,1.1
Fr 28.04.,21.1
Sa 29.04.,0
So 30.04.,0
Mo 01.05.,2.6
Di 02.05.,11.9
Mi 03.05.,0
Do 04.05.,0
Fr 05.05.,10.9
Sa 06.05.,0
So 07.05.,0
Mo 08.05.,0
Di 09.05.,4
Mi 10.05.,17.8
Do 11.05.,20.5
Fr 12.05.,0.1
Sa 13.05.,0
So 14.05.,1.2
Mo 15.05.,3
Di 16.05.,11
Mi 17.05.,0
Do 18.05.,0
Fr 19.05.,0
Sa 20.05.,0
So 21.05.,0
Mo 22.05.,0
Di 23.05.,0
Mi 24.05.,0
Do 25.05.,0
Fr 26.05.,0
Sa 27.05.,0
So 28.05.,0
Mo 29.05.,0
Di 30.05.,0
Mi 31.05.,0
Do 01.06.,0
Fr 02.06.,0
Sa 03.06.,0
So 04.06.,0
Mo 05.06.,0
Di 06.06.,0
Mi 07.06.,0
Do 08.06.,6.4
Fr 09.06.,0
Sa 10.06.,0
So 11.06.,0
Mo 12.06.,0
Di 13.06.,0
Mi 14.06.,0
Do 15.06.,0
Fr 16.06.,0
Sa 17.06.,0
So 18.06.,0
Mo 19.06.,0.1
Di 20.06.,3.6
Mi 21.06.,0.1
Do 22.06.,3.4
Fr 23.06.,0.1
Sa 24.06.,0
So 25.06.,0
Mo 26.06.,0
Di 27.06.,2
Mi 28.06.,0
Do 29.06.,0.1
Fr 30.06.,1.8
