category,Niederschlag (6 bis 6 UTC)
Mi 01.01.,2.1
Do 02.01.,8.4
Fr 03.01.,2.8
Sa 04.01.,10.3
So 05.01.,0.9
Mo 06.01.,0
Di 07.01.,0.7
Mi 08.01.,0
Do 09.01.,0.2
Fr 10.01.,0.4
Sa 11.01.,0
So 12.01.,0
Mo 13.01.,3.4
Di 14.01.,0.6
Mi 15.01.,0
Do 16.01.,0.1
Fr 17.01.,0
Sa 18.01.,0
So 19.01.,0
Mo 20.01.,0
Di 21.01.,1
Mi 22.01.,0.6
Do 23.01.,2.5
Fr 24.01.,0.1
Sa 25.01.,0
So 26.01.,0.4
Mo 27.01.,5.1
Di 28.01.,2.8
Mi 29.01.,2.4
Do 30.01.,1.7
Fr 31.01.,0.9
Sa 01.02.,0.5
So 02.02.,0.9
Mo 03.02.,10.3
Di 04.02.,0
Mi 05.02.,2.3
Do 06.02.,0.8
Fr 07.02.,1.3
Sa 08.02.,4.4
So 09.02.,0
Mo 10.02.,0.3
Di 11.02.,0
Mi 12.02.,0
Do 13.02.,0
Fr 14.02.,0
Sa 15.02.,0
So 16.02.,0.1
Mo 17.02.,0
Di 18.02.,0
Mi 19.02.,0
Do 20.02.,0
Fr 21.02.,0
Sa 22.02.,0
So 23.02.,0
Mo 24.02.,0
Di 25.02.,0
Mi 26.02.,0
Do 27.02.,0
Fr 28.02.,0
Sa 01.03.,0.3
So 02.03.,4.2
Mo 03.03.,0
Di 04.03.,0
Mi 05.03.,0
Do 06.03.,4.9
Fr 07.03.,0.1
Sa 08.03.,0
So 09.03.,0
Mo 10.03.,0
Di 11.03.,0
Mi 12.03.,4.7
Do 13.03.,0.1
Fr 14.03.,0
Sa 15.03.,0
So 16.03.,0
Mo 17.03.,0
Di 18.03.,0
Mi 19.03.,0
Do 20.03.,0
Fr 21.03.,0
Sa 22.03.,0
So 23.03.,0
Mo 24.03.,0
Di 25.03.,0
Mi 26.03.,0
Do 27.03.,0
Fr 28.03.,0.1
Sa 29.03.,0.2
So 30.03.,3.5
Mo 31.03.,0
Di 01.04.,3.6
Mi 02.04.,2.3
Do 03.04.,0
Fr 04.04.,0.1
Sa 05.04.,1.2
So 06.04.,0.4
Mo 07.04.,0.2
Di 08.04.,0
Mi 09.04.,0.2
Do 10.04.,3.3
Fr 11.04.,0
Sa 12.04.,0
So 13.04.,0
Mo 14.04.,0
Di 15.04.,0
Mi 16.04.,0
Do 17.04.,0
Fr 18.04.,0
Sa 19.04.,0.1
So 20.04.,0
Mo 21.04.,3
Di 22.04.,2.3
Mi 23.04.,0
Do 24.04.,0
Fr 25.04.,0
Sa 26.04.,1.6
So 27.04.,0.7
Mo 28.04.,0
Di 29.04.,0
Mi 30.04.,1.9
