category,Niederschlag (6 bis 6 UTC)
So 01.01.,0
Mo 02.01.,1.4
Di 03.01.,0
Mi 04.01.,0.2
Do 05.01.,0
Fr 06.01.,0
Sa 07.01.,2.1
So 08.01.,1.4
Mo 09.01.,0
Di 10.01.,0
Mi 11.01.,1.4
Do 12.01.,10.6
Fr 13.01.,0
Sa 14.01.,0.7
So 15.01.,0.5
Mo 16.01.,0.6
Di 17.01.,0
Mi 18.01.,0
Do 19.01.,0
Fr 20.01.,0
Sa 21.01.,0
So 22.01.,0
Mo 23.01.,0
Di 24.01.,0.4
Mi 25.01.,0
Do 26.01.,0
Fr 27.01.,0
Sa 28.01.,0
So 29.01.,0
Mo 30.01.,3.2
Di 31.01.,7.6
Mi 01.02.,0.1
Do 02.02.,0
Fr 03.02.,0
Sa 04.02.,0.1
So 05.02.,0
Mo 06.02.,0
Di 07.02.,0
Mi 08.02.,0
Do 09.02.,0
Fr 10.02.,0
Sa 11.02.,0
So 12.02.,0
Mo 13.02.,0
Di 14.02.,0
Mi 15.02.,0
Do 16.02.,1.7
Fr 17.02.,4.4
Sa 18.02.,0
So 19.02.,0.5
Mo 20.02.,2.2
Di 21.02.,5.6
Mi 22.02.,0
Do 23.02.,0.2
Fr 24.02.,0.7
Sa 25.02.,0
So 26.02.,0
Mo 27.02.,0
Di 28.02.,12.3
Mi 01.03.,6.9
Do 02.03.,0.2
Fr 03.03.,0
Sa 04.03.,0
So 05.03.,2.3
Mo 06.03.,1.4
Di 07.03.,0.6
Mi 08.03.,8.5
Do 09.03.,13.8
Fr 10.03.,0
Sa 11.03.,0
So 12.03.,0
Mo 13.03.,0
Di 14.03.,0
Mi 15.03.,0
Do 16.03.,0
Fr 17.03.,2.8
Sa 18.03.,4.2
So 19.03.,0.2
Mo 20.03.,0
Di 21.03.,1.3
Mi 22.03.,3
Do 23.03.,0.1
Fr 24.03.,0
Sa 25.03.,0
So 26.03.,0
Mo 27.03.,0
Di 28.03.,0
Mi 29.03.,0
Do 30.03.,0
Fr 31.03.,0
Sa 01.04.,0
So 02.04.,0
Mo 03.04.,0.4
Di 04.04.,0.4
Mi 05.04.,0
Do 06.04.,0
Fr 07.04.,0
Sa 08.04.,0
So 09.04.,0
Mo 10.04.,0.1
Di 11.04.,0
Mi 12.04.,0
Do 13.04.,0
Fr 14.04.,0
Sa 15.04.,0.9
So 16.04.,2.5
Mo 17.04.,9.7
Di 18.04.,7.8
Mi 19.04.,0
Do 20.04.,0
Fr 21.04.,0
Sa 22.04.,1.5
So 23.04.,0
Mo 24.04.,0.2
Di 25.04.,20.8
Mi 26.04.,14.8
Do 27.04.,17.7
Fr 28.04.,5
Sa 29.04.,0
So 30.04.,0
