category,Niederschlag (6 bis 6 UTC)
Sa 01.01.,0.2
So 02.01.,0
Mo 03.01.,0
Di 04.01.,0
Mi 05.01.,0
Do 06.01.,5.5
Fr 07.01.,2.9
Sa 08.01.,2.3
So 09.01.,3.9
Mo 10.01.,1.3
Di 11.01.,0.7
Mi 12.01.,8.9
Do 13.01.,7.4
Fr 14.01.,1.2
Sa 15.01.,0
So 16.01.,0
Mo 17.01.,0
Di 18.01.,0.3
Mi 19.01.,0.5
Do 20.01.,0.7
Fr 21.01.,0
Sa 22.01.,0
So 23.01.,0.4
Mo 24.01.,0.4
Di 25.01.,0.1
Mi 26.01.,1.7
Do 27.01.,0
Fr 28.01.,0
Sa 29.01.,0
So 30.01.,0
Mo 31.01.,0.7
Di 01.02.,0.3
Mi 02.02.,0
Do 03.02.,0.7
Fr 04.02.,0
Sa 05.02.,0
So 06.02.,0
Mo 07.02.,0
Di 08.02.,0.1
Mi 09.02.,0
Do 10.02.,1.8
Fr 11.02.,1.9
Sa 12.02.,3.1
So 13.02.,0.2
Mo 14.02.,0
Di 15.02.,0
Mi 16.02.,0
Do 17.02.,0
Fr 18.02.,1.1
Sa 19.02.,0
So 20.02.,0.3
Mo 21.02.,0
Di 22.02.,0
Mi 23.02.,0
Do 24.02.,0
Fr 25.02.,0
Sa 26.02.,3.3
So 27.02.,0.7
Mo 28.02.,0
Di 01.03.,0
Mi 02.03.,0
Do 03.03.,0
Fr 04.03.,0
Sa 05.03.,0
So 06.03.,0
Mo 07.03.,0
Di 08.03.,0
Mi 09.03.,0
Do 10.03.,0
Fr 11.03.,0
Sa 12.03.,0
So 13.03.,0
Mo 14.03.,0
Di 15.03.,0
Mi 16.03.,1.6
Do 17.03.,32.8
Fr 18.03.,2.1
Sa 19.03.,0
So 20.03.,0
Mo 21.03.,0
Di 22.03.,0
Mi 23.03.,0
Do 24.03.,0
Fr 25.03.,0
Sa 26.03.,9.2
So 27.03.,6.1
Mo 28.03.,0
Di 29.03.,0
Mi 30.03.,0
Do 31.03.,1.3
Fr 01.04.,0
Sa 02.04.,0
So 03.04.,0
Mo 04.04.,12.3
Di 05.04.,0.2
Mi 06.04.,0
Do 07.04.,0
Fr 08.04.,0
Sa 09.04.,0
So 10.04.,0
Mo 11.04.,0
Di 12.04.,0.1
Mi 13.04.,0.1
Do 14.04.,0
Fr 15.04.,0
Sa 16.04.,0
So 17.04.,0
Mo 18.04.,0
Di 19.04.,0
Mi 20.04.,0
Do 21.04.,0
Fr 22.04.,0
Sa 23.04.,0
So 24.04.,0.3
Mo 25.04.,0
Di 26.04.,0.3
Mi 27.04.,6.9
Do 28.04.,0
Fr 29.04.,0
Sa 30.04.,0
