category,Niederschlag (6 bis 6 UTC)
Mo 01.05.,15.7
Di 02.05.,0.1
Mi 03.05.,0
Do 04.05.,0.8
Fr 05.05.,0
Sa 06.05.,0
So 07.05.,7.2
Mo 08.05.,8.5
Di 09.05.,0
Mi 10.05.,0
Do 11.05.,0
Fr 12.05.,1
Sa 13.05.,1.1
So 14.05.,16.6
Mo 15.05.,2.5
Di 16.05.,0
Mi 17.05.,0
Do 18.05.,0
Fr 19.05.,1.6
Sa 20.05.,0
So 21.05.,0
Mo 22.05.,0
Di 23.05.,0
Mi 24.05.,0
Do 25.05.,0
Fr 26.05.,0
Sa 27.05.,0
So 28.05.,0
Mo 29.05.,0
Di 30.05.,9.6
Mi 31.05.,0
Do 01.06.,0
Fr 02.06.,0
Sa 03.06.,12.2
So 04.06.,0
Mo 05.06.,5
Di 06.06.,6.5
Mi 07.06.,0.6
Do 08.06.,0
Fr 09.06.,3.5
Sa 10.06.,0
So 11.06.,0
Mo 12.06.,0
Di 13.06.,0
Mi 14.06.,0
Do 15.06.,1.3
Fr 16.06.,0
Sa 17.06.,0
So 18.06.,0
Mo 19.06.,0
Di 20.06.,1.2
Mi 21.06.,13.6
Do 22.06.,2.7
Fr 23.06.,0
Sa 24.06.,0
So 25.06.,3.1
Mo 26.06.,3.1
Di 27.06.,0.7
Mi 28.06.,9.9
Do 29.06.,1.3
Fr 30.06.,1
Sa 01.07.,0.1
So 02.07.,0.3
Mo 03.07.,0
Di 04.07.,0
Mi 05.07.,0
Do 06.07.,0
Fr 07.07.,2.3
Sa 08.07.,0
So 09.07.,5.7
Mo 10.07.,4.2
Di 11.07.,2
Mi 12.07.,2.2
Do 13.07.,0
Fr 14.07.,7.1
Sa 15.07.,0
So 16.07.,0
Mo 17.07.,0
Di 18.07.,0
Mi 19.07.,0
Do 20.07.,1.1
Fr 21.07.,0
Sa 22.07.,5.1
So 23.07.,2
Mo 24.07.,3.4
Di 25.07.,29.7
Mi 26.07.,24.7
Do 27.07.,6.5
Fr 28.07.,0
Sa 29.07.,0
So 30.07.,0.2
Mo 31.07.,0
Di 01.08.,26.5
Mi 02.08.,0
Do 03.08.,2.1
Fr 04.08.,0
Sa 05.08.,0.1
So 06.08.,0.4
Mo 07.08.,0
Di 08.08.,15.9
Mi 09.08.,0
Do 10.08.,16.7
Fr 11.08.,4
Sa 12.08.,1.9
So 13.08.,0.5
Mo 14.08.,0
Di 15.08.,20.4
Mi 16.08.,0
Do 17.08.,0
Fr 18.08.,22.6
Sa 19.08.,5.8
So 20.08.,0
Mo 21.08.,0
Di 22.08.,0
Mi 23.08.,0
Do 24.08.,0
Fr 25.08.,0
Sa 26.08.,0
So 27.08.,0.9
Mo 28.08.,0.1
Di 29.08.,0
Mi 30.08.,0.1
Do 31.08.,15
