category,Niederschlag (6 bis 6 UTC)
Mo 01.04.,0.7
Di 02.04.,0
Mi 03.04.,2.9
Do 04.04.,3.7
Fr 05.04.,0
Sa 06.04.,0
So 07.04.,0
Mo 08.04.,0
Di 09.04.,3.6
Mi 10.04.,0
Do 11.04.,0
Fr 12.04.,0
Sa 13.04.,0
So 14.04.,0.4
Mo 15.04.,9.5
Di 16.04.,8.9
Mi 17.04.,4.9
Do 18.04.,4.2
Fr 19.04.,2
Sa 20.04.,1.4
So 21.04.,7.7
Mo 22.04.,0.1
Di 23.04.,0.7
Mi 24.04.,1
Do 25.04.,0
Fr 26.04.,0
Sa 27.04.,0
So 28.04.,0
Mo 29.04.,0
Di 30.04.,0
Mi 01.05.,0
Do 02.05.,1
Fr 03.05.,0.7
Sa 04.05.,0
So 05.05.,0.6
Mo 06.05.,24.9
Di 07.05.,3.5
Mi 08.05.,6.2
Do 09.05.,0
Fr 10.05.,0
Sa 11.05.,0
So 12.05.,0
Mo 13.05.,0
Di 14.05.,0
Mi 15.05.,2
Do 16.05.,4
Fr 17.05.,0
Sa 18.05.,10.2
So 19.05.,2.6
Mo 20.05.,0.6
Di 21.05.,5.8
Mi 22.05.,1.3
Do 23.05.,16.8
Fr 24.05.,8.7
Sa 25.05.,0
So 26.05.,0
Mo 27.05.,25
Di 28.05.,0
Mi 29.05.,7.8
Do 30.05.,16.6
Fr 31.05.,66.9
Sa 01.06.,42.5
So 02.06.,1.5
Mo 03.06.,14
Di 04.06.,0
Mi 05.06.,0
Do 06.06.,0.9
Fr 07.06.,2.6
Sa 08.06.,7.1
So 09.06.,13.3
Mo 10.06.,0.8
Di 11.06.,0
Mi 12.06.,0
Do 13.06.,0
Fr 14.06.,0
Sa 15.06.,0.1
So 16.06.,0.3
Mo 17.06.,2.9
Di 18.06.,0
Mi 19.06.,0
Do 20.06.,0
Fr 21.06.,21
Sa 22.06.,18.1
So 23.06.,0
Mo 24.06.,0
Di 25.06.,0
Mi 26.06.,9.1
Do 27.06.,0
Fr 28.06.,0
Sa 29.06.,0
So 30.06.,0.1
