category,Niederschlag (6 bis 6 UTC)
Do 01.09.,13.1
Fr 02.09.,2.4
Sa 03.09.,12.5
So 04.09.,0
Mo 05.09.,0.1
Di 06.09.,0.1
Mi 07.09.,0
Do 08.09.,0
Fr 09.09.,0
Sa 10.09.,15.7
So 11.09.,12.6
Mo 12.09.,0
Di 13.09.,0
Mi 14.09.,0
Do 15.09.,4.9
Fr 16.09.,22.6
Sa 17.09.,0.2
So 18.09.,0
Mo 19.09.,1
Di 20.09.,3.1
Mi 21.09.,0.4
Do 22.09.,0
Fr 23.09.,0
Sa 24.09.,5.3
So 25.09.,0
Mo 26.09.,0
Di 27.09.,0
Mi 28.09.,0
Do 29.09.,0
Fr 30.09.,0
Sa 01.10.,0
So 02.10.,0
Mo 03.10.,0
Di 04.10.,0
Mi 05.10.,0.6
Do 06.10.,9
Fr 07.10.,0
Sa 08.10.,1.7
So 09.10.,10.9
Mo 10.10.,0
Di 11.10.,6.4
Mi 12.10.,0.1
Do 13.10.,0
Fr 14.10.,0
Sa 15.10.,2.7
So 16.10.,7.5
Mo 17.10.,0.6
Di 18.10.,0
Mi 19.10.,0
Do 20.10.,0.3
Fr 21.10.,0
Sa 22.10.,0
So 23.10.,0
Mo 24.10.,0
Di 25.10.,0
Mi 26.10.,0
Do 27.10.,0
Fr 28.10.,0
Sa 29.10.,0
So 30.10.,0
Mo 31.10.,0.1
Di 01.11.,0
Mi 02.11.,0
Do 03.11.,0
Fr 04.11.,0
Sa 05.11.,0
So 06.11.,0
Mo 07.11.,0
Di 08.11.,0
Mi 09.11.,0
Do 10.11.,0
Fr 11.11.,0
Sa 12.11.,0
So 13.11.,0
Mo 14.11.,0
Di 15.11.,0
Mi 16.11.,0
Do 17.11.,0
Fr 18.11.,0
Sa 19.11.,0.5
So 20.11.,0
Mo 21.11.,0.4
Di 22.11.,0
Mi 23.11.,0
Do 24.11.,0.7
Fr 25.11.,3.5
Sa 26.11.,8.3
So 27.11.,0.4
Mo 28.11.,7.4
Di 29.11.,5.3
Mi 30.11.,3
Do 01.12.,0.1
Fr 02.12.,0
Sa 03.12.,0
So 04.12.,0
Mo 05.12.,0
Di 06.12.,5.2
Mi 07.12.,1
Do 08.12.,0
Fr 09.12.,0.6
Sa 10.12.,1.9
So 11.12.,0.6
Mo 12.12.,0
Di 13.12.,0
Mi 14.12.,0
Do 15.12.,0
Fr 16.12.,0
Sa 17.12.,1.2
So 18.12.,0
Mo 19.12.,0
Di 20.12.,0
Mi 21.12.,13.6
Do 22.12.,2.1
Fr 23.12.,22
Sa 24.12.,5
So 25.12.,0.8
Mo 26.12.,3.9
Di 27.12.,0
Mi 28.12.,0
Do 29.12.,0
Fr 30.12.,0.1
Sa 31.12.,0
