category,Niederschlag (6 bis 6 UTC)
So 01.05.,4.5
Mo 02.05.,0
Di 03.05.,4.9
Mi 04.05.,0
Do 05.05.,0
Fr 06.05.,0
Sa 07.05.,0
So 08.05.,0
Mo 09.05.,0
Di 10.05.,0.3
Mi 11.05.,0
Do 12.05.,4.4
Fr 13.05.,20.2
Sa 14.05.,6.7
So 15.05.,0
Mo 16.05.,6.1
Di 17.05.,0.5
Mi 18.05.,1.7
Do 19.05.,6.1
Fr 20.05.,0
Sa 21.05.,0
So 22.05.,0
Mo 23.05.,30.4
Di 24.05.,6.9
Mi 25.05.,0
Do 26.05.,0
Fr 27.05.,2
Sa 28.05.,0
So 29.05.,14.1
Mo 30.05.,3.6
Di 31.05.,7
Mi 01.06.,0.2
Do 02.06.,2.9
Fr 03.06.,11.2
Sa 04.06.,6.5
So 05.06.,5.2
Mo 06.06.,0
Di 07.06.,0
Mi 08.06.,6.3
Do 09.06.,10.7
Fr 10.06.,0
Sa 11.06.,8.1
So 12.06.,0.2
Mo 13.06.,2.2
Di 14.06.,7.4
Mi 15.06.,1.3
Do 16.06.,9.4
Fr 17.06.,0.1
Sa 18.06.,3.4
So 19.06.,4.8
Mo 20.06.,0
Di 21.06.,0
Mi 22.06.,0
Do 23.06.,0
Fr 24.06.,0
Sa 25.06.,5.9
So 26.06.,5.4
Mo 27.06.,0
Di 28.06.,0
Mi 29.06.,4.8
Do 30.06.,8
Fr 01.07.,0
Sa 02.07.,3.2
So 03.07.,0
Mo 04.07.,0
Di 05.07.,0
Mi 06.07.,0
Do 07.07.,0
Fr 08.07.,0
Sa 09.07.,0
So 10.07.,0
Mo 11.07.,16.9
Di 12.07.,27.4
Mi 13.07.,23.9
Do 14.07.,4.9
Fr 15.07.,0
Sa 16.07.,0
So 17.07.,1.8
Mo 18.07.,0
Di 19.07.,0
Mi 20.07.,0
Do 21.07.,13.5
Fr 22.07.,0.5
Sa 23.07.,7.7
So 24.07.,0
Mo 25.07.,10.4
Di 26.07.,1.3
Mi 27.07.,2
Do 28.07.,0
Fr 29.07.,0
Sa 30.07.,0.1
So 31.07.,2.8
Mo 01.08.,0
Di 02.08.,0.5
Mi 03.08.,0
Do 04.08.,19.7
Fr 05.08.,20.4
Sa 06.08.,0.6
So 07.08.,0
Mo 08.08.,6.7
Di 09.08.,5
Mi 10.08.,7.1
Do 11.08.,2.5
Fr 12.08.,2.6
Sa 13.08.,0
So 14.08.,0
Mo 15.08.,0
Di 16.08.,0
Mi 17.08.,0.1
Do 18.08.,8.4
Fr 19.08.,1.2
Sa 20.08.,9
So 21.08.,0.1
Mo 22.08.,0
Di 23.08.,0
Mi 24.08.,0
Do 25.08.,0
Fr 26.08.,0
Sa 27.08.,0
So 28.08.,0
Mo 29.08.,20.4
Di 30.08.,0
Mi 31.08.,1.1
