category,Niederschlag (6 bis 6 UTC)
Sa 01.01.,7.3
So 02.01.,3.5
Mo 03.01.,1.5
Di 04.01.,1.6
Mi 05.01.,0
Do 06.01.,0
Fr 07.01.,0.1
Sa 08.01.,0
So 09.01.,0
Mo 10.01.,0
Di 11.01.,0
Mi 12.01.,0
Do 13.01.,9.7
Fr 14.01.,4.8
Sa 15.01.,0.6
So 16.01.,0.1
Mo 17.01.,0.3
Di 18.01.,0
Mi 19.01.,0
Do 20.01.,0
Fr 21.01.,0
Sa 22.01.,0
So 23.01.,4.4
Mo 24.01.,8.1
Di 25.01.,2.8
Mi 26.01.,3.9
Do 27.01.,3.4
Fr 28.01.,1.4
Sa 29.01.,0
So 30.01.,0.7
Mo 31.01.,0
Di 01.02.,0
Mi 02.02.,7.7
Do 03.02.,0
Fr 04.02.,0
Sa 05.02.,0
So 06.02.,0
Mo 07.02.,1
Di 08.02.,3.3
Mi 09.02.,0.5
Do 10.02.,4.9
Fr 11.02.,1.5
Sa 12.02.,0.2
So 13.02.,0.2
Mo 14.02.,0
Di 15.02.,0
Mi 16.02.,0
Do 17.02.,0
Fr 18.02.,0
Sa 19.02.,0
So 20.02.,0
Mo 21.02.,1.6
Di 22.02.,0.9
Mi 23.02.,0.2
Do 24.02.,1.5
Fr 25.02.,3.5
Sa 26.02.,0
So 27.02.,0
Mo 28.02.,0.2
Di 01.03.,5.9
Mi 02.03.,1.6
Do 03.03.,3.7
Fr 04.03.,0
Sa 05.03.,0.7
So 06.03.,5.3
Mo 07.03.,0
Di 08.03.,0.1
Mi 09.03.,0
Do 10.03.,1.1
Fr 11.03.,0
Sa 12.03.,0.7
So 13.03.,2.7
Mo 14.03.,0
Di 15.03.,6.9
Mi 16.03.,2.2
Do 17.03.,1.2
Fr 18.03.,0
Sa 19.03.,6.1
So 20.03.,9.7
Mo 21.03.,6.4
Di 22.03.,0.3
Mi 23.03.,0.1
Do 24.03.,2.8
Fr 25.03.,20.2
Sa 26.03.,5.6
So 27.03.,0
Mo 28.03.,0.2
Di 29.03.,0
Mi 30.03.,0
Do 31.03.,0
Fr 01.04.,10.9
Sa 02.04.,0.3
So 03.04.,0.1
Mo 04.04.,1.5
Di 05.04.,0.3
Mi 06.04.,0
Do 07.04.,1.5
Fr 08.04.,4.6
Sa 09.04.,0.3
So 10.04.,0
Mo 11.04.,8.9
Di 12.04.,46.4
Mi 13.04.,19.6
Do 14.04.,0
Fr 15.04.,0
Sa 16.04.,0
So 17.04.,8.4
Mo 18.04.,1.9
Di 19.04.,0
Mi 20.04.,0
Do 21.04.,3.5
Fr 22.04.,0
Sa 23.04.,0
So 24.04.,0.1
Mo 25.04.,12.8
Di 26.04.,4.5
Mi 27.04.,0.1
Do 28.04.,0
Fr 29.04.,0
Sa 30.04.,2.8
