category,Niederschlag (6 bis 6 UTC)
So 01.05.,0.1
Mo 02.05.,0.6
Di 03.05.,6
Mi 04.05.,0
Do 05.05.,2.9
Fr 06.05.,0
Sa 07.05.,0
So 08.05.,0
Mo 09.05.,0
Di 10.05.,8.3
Mi 11.05.,0
Do 12.05.,0
Fr 13.05.,0
Sa 14.05.,0
So 15.05.,0
Mo 16.05.,12.1
Di 17.05.,9.7
Mi 18.05.,3.2
Do 19.05.,11.1
Fr 20.05.,4.3
Sa 21.05.,0
So 22.05.,0
Mo 23.05.,0
Di 24.05.,0
Mi 25.05.,0
Do 26.05.,0
Fr 27.05.,1.3
Sa 28.05.,4
So 29.05.,6.4
Mo 30.05.,1.9
Di 31.05.,3.2
Mi 01.06.,5.9
Do 02.06.,1.6
Fr 03.06.,0
Sa 04.06.,11.7
So 05.06.,45.4
Mo 06.06.,4.5
Di 07.06.,0
Mi 08.06.,2.4
Do 09.06.,0
Fr 10.06.,0
Sa 11.06.,4.2
So 12.06.,1.6
Mo 13.06.,0
Di 14.06.,0
Mi 15.06.,0
Do 16.06.,0
Fr 17.06.,0
Sa 18.06.,0
So 19.06.,1.1
Mo 20.06.,0
Di 21.06.,0
Mi 22.06.,10.6
Do 23.06.,0
Fr 24.06.,0
Sa 25.06.,0
So 26.06.,20.4
Mo 27.06.,0.4
Di 28.06.,10.6
Mi 29.06.,0
Do 30.06.,0
Fr 01.07.,16.3
Sa 02.07.,0.1
So 03.07.,1.6
Mo 04.07.,0
Di 05.07.,0
Mi 06.07.,2.5
Do 07.07.,0
Fr 08.07.,3.9
Sa 09.07.,0.4
So 10.07.,0
Mo 11.07.,10.7
Di 12.07.,0.4
Mi 13.07.,24.7
Do 14.07.,0.4
Fr 15.07.,0.9
Sa 16.07.,6
So 17.07.,2.6
Mo 18.07.,0.6
Di 19.07.,0
Mi 20.07.,0
Do 21.07.,0
Fr 22.07.,0
Sa 23.07.,0
So 24.07.,27
Mo 25.07.,0
Di 26.07.,0
Mi 27.07.,10.9
Do 28.07.,0
Fr 29.07.,3.3
Sa 30.07.,0
So 31.07.,0
Mo 01.08.,2.7
Di 02.08.,2.9
Mi 03.08.,16.9
Do 04.08.,0
Fr 05.08.,0
Sa 06.08.,0
So 07.08.,0
Mo 08.08.,0
Di 09.08.,0
Mi 10.08.,0
Do 11.08.,0
Fr 12.08.,2.1
Sa 13.08.,0
So 14.08.,0
Mo 15.08.,0
Di 16.08.,0.3
Mi 17.08.,0
Do 18.08.,0
Fr 19.08.,0.8
Sa 20.08.,36.4
So 21.08.,1.1
Mo 22.08.,4.9
Di 23.08.,0
Mi 24.08.,5.4
Do 25.08.,4.1
Fr 26.08.,3.7
Sa 27.08.,4.9
So 28.08.,7.1
Mo 29.08.,19.4
Di 30.08.,0
Mi 31.08.,0
