category,Niederschlag (6 bis 6 UTC)
Do 01.05.,0
Fr 02.05.,0
Sa 03.05.,0
So 04.05.,0
Mo 05.05.,2.4
Di 06.05.,0
Mi 07.05.,4.3
Do 08.05.,2.1
Fr 09.05.,0.5
Sa 10.05.,0.3
So 11.05.,3.7
Mo 12.05.,0
Di 13.05.,0
Mi 14.05.,0.3
Do 15.05.,8.9
Fr 16.05.,16.1
Sa 17.05.,0.5
So 18.05.,1.8
Mo 19.05.,2.1
Di 20.05.,0
Mi 21.05.,17.9
Do 22.05.,0
Fr 23.05.,1.1
Sa 24.05.,0.8
So 25.05.,0
Mo 26.05.,0
Di 27.05.,2.5
Mi 28.05.,7.1
Do 29.05.,22.5
Fr 30.05.,16.6
Sa 31.05.,3.5
So 01.06.,2.1
Mo 02.06.,2.1
Di 03.06.,4.1
Mi 04.06.,12
Do 05.06.,1.8
Fr 06.06.,3.4
Sa 07.06.,6
So 08.06.,0
Mo 09.06.,0
Di 10.06.,0
Mi 11.06.,19.2
Do 12.06.,10.1
Fr 13.06.,1
Sa 14.06.,0.6
So 15.06.,0
Mo 16.06.,0
Di 17.06.,23.2
Mi 18.06.,5.6
Do 19.06.,0
Fr 20.06.,0
Sa 21.06.,0
So 22.06.,0
Mo 23.06.,20.5
Di 24.06.,0
Mi 25.06.,0
Do 26.06.,0
Fr 27.06.,0
Sa 28.06.,0
So 29.06.,0
Mo 30.06.,0
Di 01.07.,0
Mi 02.07.,0
Do 03.07.,1.1
Fr 04.07.,0
Sa 05.07.,0
So 06.07.,25.2
Mo 07.07.,5.9
Di 08.07.,22.4
Mi 09.07.,8.3
Do 10.07.,4
Fr 11.07.,7.1
Sa 12.07.,0
So 13.07.,0
Mo 14.07.,0
Di 15.07.,0
Mi 16.07.,0
Do 17.07.,0
Fr 18.07.,11.8
Sa 19.07.,14.2
So 20.07.,0
Mo 21.07.,0
Di 22.07.,0
Mi 23.07.,7
Do 24.07.,8.4
Fr 25.07.,0
Sa 26.07.,0
So 27.07.,0
Mo 28.07.,0
Di 29.07.,0
Mi 30.07.,0
Do 31.07.,0.9
Fr 01.08.,3.2
Sa 02.08.,0
So 03.08.,0
Mo 04.08.,14.1
Di 05.08.,0
Mi 06.08.,0
Do 07.08.,0
Fr 08.08.,1.6
Sa 09.08.,0
So 10.08.,0
Mo 11.08.,6.6
Di 12.08.,7.6
Mi 13.08.,0
Do 14.08.,0
Fr 15.08.,0
Sa 16.08.,0
So 17.08.,8.9
Mo 18.08.,0
Di 19.08.,2.8
Mi 20.08.,0
Do 21.08.,0.1
Fr 22.08.,0.9
Sa 23.08.,13.8
So 24.08.,7.2
Mo 25.08.,0
Di 26.08.,4.1
Mi 27.08.,1.1
Do 28.08.,13.5
Fr 29.08.,0
Sa 30.08.,0
So 31.08.,0
