category,Niederschlag (6 bis 6 UTC)
Mi 01.07.,3.1
Do 02.07.,10.1
Fr 03.07.,0
Sa 04.07.,0
So 05.07.,0
Mo 06.07.,0
Di 07.07.,0
Mi 08.07.,0
Do 09.07.,0
Fr 10.07.,36.7
Sa 11.07.,7.5
So 12.07.,0
Mo 13.07.,0
Di 14.07.,0.2
Mi 15.07.,2.6
Do 16.07.,20.9
Fr 17.07.,0
Sa 18.07.,0
So 19.07.,0
Mo 20.07.,0
Di 21.07.,7.3
Mi 22.07.,0
Do 23.07.,0
Fr 24.07.,0
Sa 25.07.,0
So 26.07.,4.3
Mo 27.07.,0
Di 28.07.,2.6
Mi 29.07.,0
Do 30.07.,0
Fr 31.07.,0
Sa 01.08.,2.3
So 02.08.,23.5
Mo 03.08.,40.7
Di 04.08.,10.3
Mi 05.08.,0
Do 06.08.,0
Fr 07.08.,0
Sa 08.08.,0
So 09.08.,0
Mo 10.08.,0
Di 11.08.,0
Mi 12.08.,0
Do 13.08.,0
Fr 14.08.,1.3
Sa 15.08.,0
So 16.08.,0
Mo 17.08.,0.3
Di 18.08.,9
Mi 19.08.,0
Do 20.08.,0
Fr 21.08.,0
Sa 22.08.,4.7
So 23.08.,1.2
Mo 24.08.,0
Di 25.08.,0
Mi 26.08.,0
Do 27.08.,0
Fr 28.08.,40.8
Sa 29.08.,11.9
So 30.08.,3.4
Mo 31.08.,2
Di 01.09.,1.4
Mi 02.09.,0
Do 03.09.,0
Fr 04.09.,0
Sa 05.09.,7.4
So 06.09.,3.3
Mo 07.09.,0
Di 08.09.,0
Mi 09.09.,0
Do 10.09.,0
Fr 11.09.,0
Sa 12.09.,0
So 13.09.,0
Mo 14.09.,0
Di 15.09.,0
Mi 16.09.,0
Do 17.09.,0
Fr 18.09.,0
Sa 19.09.,0
So 20.09.,0
Mo 21.09.,0
Di 22.09.,6.3
Mi 23.09.,3.1
Do 24.09.,10.2
Fr 25.09.,27
Sa 26.09.,2.7
So 27.09.,0
Mo 28.09.,0.5
Di 29.09.,0.6
Mi 30.09.,0
