category,Niederschlag (6 bis 6 UTC)
Mo 01.05.,17.8
Di 02.05.,0
Mi 03.05.,0
Do 04.05.,1.9
Fr 05.05.,0
Sa 06.05.,6.8
So 07.05.,11.5
Mo 08.05.,27.2
Di 09.05.,0.5
Mi 10.05.,0
Do 11.05.,0.4
Fr 12.05.,0.3
Sa 13.05.,2.8
So 14.05.,10.3
Mo 15.05.,3.4
Di 16.05.,0
Mi 17.05.,0
Do 18.05.,0
Fr 19.05.,12.5
Sa 20.05.,0
So 21.05.,0
Mo 22.05.,0
Di 23.05.,0
Mi 24.05.,0.6
Do 25.05.,0
Fr 26.05.,0
Sa 27.05.,0
So 28.05.,0
Mo 29.05.,0
Di 30.05.,2.2
Mi 31.05.,0
Do 01.06.,0
Fr 02.06.,0
Sa 03.06.,10.4
So 04.06.,0.1
Mo 05.06.,15.7
Di 06.06.,11.1
Mi 07.06.,1.3
Do 08.06.,0
Fr 09.06.,3
Sa 10.06.,0
So 11.06.,0
Mo 12.06.,4
Di 13.06.,0
Mi 14.06.,0
Do 15.06.,0
Fr 16.06.,0
Sa 17.06.,0
So 18.06.,0
Mo 19.06.,0
Di 20.06.,0
Mi 21.06.,0
Do 22.06.,0
Fr 23.06.,0
Sa 24.06.,0
So 25.06.,12.8
Mo 26.06.,5.8
Di 27.06.,0
Mi 28.06.,8.5
Do 29.06.,4.1
Fr 30.06.,0
Sa 01.07.,1
So 02.07.,9.3
Mo 03.07.,0
Di 04.07.,0
Mi 05.07.,0
Do 06.07.,0
Fr 07.07.,2.7
Sa 08.07.,1.2
So 09.07.,3.9
Mo 10.07.,1.5
Di 11.07.,0.2
Mi 12.07.,3.8
Do 13.07.,0
Fr 14.07.,16.6
Sa 15.07.,0
So 16.07.,0
Mo 17.07.,0
Di 18.07.,0.2
Mi 19.07.,0
Do 20.07.,1.9
Fr 21.07.,0
Sa 22.07.,8
So 23.07.,4.1
Mo 24.07.,8.9
Di 25.07.,25
Mi 26.07.,29.3
Do 27.07.,11.9
Fr 28.07.,0
Sa 29.07.,0
So 30.07.,8.4
Mo 31.07.,0
Di 01.08.,16.7
Mi 02.08.,0.1
Do 03.08.,0
Fr 04.08.,0
Sa 05.08.,4.2
So 06.08.,1
Mo 07.08.,0
Di 08.08.,16.1
Mi 09.08.,0
Do 10.08.,19.2
Fr 11.08.,1.7
Sa 12.08.,0.3
So 13.08.,0
Mo 14.08.,0
Di 15.08.,18.5
Mi 16.08.,0
Do 17.08.,0
Fr 18.08.,34.5
Sa 19.08.,1.6
So 20.08.,0.2
Mo 21.08.,0
Di 22.08.,0
Mi 23.08.,0
Do 24.08.,0.3
Fr 25.08.,0
Sa 26.08.,0
So 27.08.,1.1
Mo 28.08.,0.7
Di 29.08.,0
Mi 30.08.,0
Do 31.08.,23.1
